ID,Name,PocketAuthorId,Bluesky,BlueskyDid,LinkedIn,Twitter,Mastodon,YouTube,TikTok,MVP,GitHub,IsMicrosoft,Site,Email
157,Sander Rozemuller,187834353,srozemuller.bsky.social,did:plc:jamouj6frjo3fhpll6xhp7qk,https://www.linkedin.com/in/sanderrozemuller/,https://x.com/sanderozemuller,,,,,https://github.com/srozemuller,,https://www.rozemuller.com,
158,Irwin Strachan,,,,https://www.linkedin.com/in/irwinstrachan/,https://x.com/irwinstrachan,,,,,https://github.com/irwins,,https://irwins.github.io,
159,Joey Verlinden,165684596,jvldn.bsky.social,did:plc:fo7dodovpulinxosy3vh6h6k,https://www.linkedin.com/in/joeyverlinden/,https://twitter.com/jvldn1,,,,,,,https://www.joeyverlinden.com,
160,Clayton Tyger,,devclate.bsky.social,did:plc:munmkmorl6d57hkragyydlyh,https://www.linkedin.com/in/clayton-t-0b60b658,https://twitter.com/clatent,,,,,,,https://clatent.com,
161,Joery Van den Bosch,190826755,,,https://www.linkedin.com/in/joery/,https://x.com/joerieke,,,,,,,https://intunestuff.com,
162,Lina Lau,52157997,,,https://www.linkedin.com/in/lina-l-16349697/,https://x.com/inversecos,,,,,,,https://www.xintra.org,
163,Rogier Dijkman,160891004,rogierdijkman.bsky.social,did:plc:43fz32n25fl4f5rlvae3exlv,https://www.linkedin.com/search/results/all/?fetchDeterministicClustersOnly=true&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAG0eGcBgU7GliD8pqR7A6qcemTr7KV0MmA&keywords=rogier%20dijkman&origin=RICH_QUERY_SUGGESTION&position=0&searchId=ae211f97-946f-494d-9373-b908f5d8544e&sid=icA&spellCorrectionEnabled=false,https://x.com/DijkmanRogier,,,,,,,https://towardsdev.com,
164,Adam Matthews,189765980,,,https://www.linkedin.com/in/amattis/,,,,,,,,https://devblogs.microsoft.com/,
165,Curtis Cannon,,,,https://www.linkedin.com/in/curtis-cannon-a35424275/,,,,,,,,https://traversecloud.co.uk/,
166,,190106431,,,,https://twitter.com/sysadafterdark,https://infosec.exchange/@sysadminafterdark,https://www.youtube.com/@sysadminafterdark,,,https://github.com/sysadminafterdark,,https://sysadminafterdark.com,
167,Vasu Jakkal,47164056,,,https://www.linkedin.com/in/vasu-jakkal/,,,,,,,,https://www.microsoft.com/,
168,Olaf Hartong,,olafhartong.nl,did:plc:3eyjo3ltqtfidsz45j5jauna,https://www.linkedin.com/in/olafhartong/,,,,,,,,https://troopers.de/,
169,Jared Boone,,,,https://www.linkedin.com/in/jarredboone/,,,,,,,,https://sites.libsyn.com/,
170,Maxime Guillemin,190892743,,,https://www.linkedin.com/in/maxime-guillemin-526618161,,,,,,,,https://cloudflow.be/,
171,Ugur Koc,170112981,,,https://www.linkedin.com/in/ugurkocde/,,,,,,,,https://ugurkoc.de/,
172,Emilien Socchi,170112981,,,https://www.linkedin.com/in/emilien-socchi-06b898136/,,,,,,,,https://www.emiliensocchi.io/,
173,Marius Sandbu ,178836907,,,https://www.linkedin.com/in/marius-sandbu-a2b0141b/,,,,,,,,https://msandbu.org/,
174,Tarek Dawoud,,,,https://www.linkedin.com/in/tarekdawoud/,,,,,,,,https://runasradio.com/,
175,Dishan M. Francis,191929250,,,https://www.linkedin.com/in/dishanfrancis/,,,,,,,,https://www.rebeladmin.com/,
176,Anton Willoughby,,,,https://www.linkedin.com/in/anton-willoughby/,,,,,,,,https://blog.moderncloud.ca/,
177,Justin Grote,55835546,,,,,,,,,,,,
178,Friedrich Weinmann,,,,https://www.linkedin.com/in/friedrich-weinmann-1986ab102/,,,,,,,,,
179,Rakhesh Sasidharan,65503247,rakhesh.com,did:plc:ty6xlsm3kcdb6hhtbl7kl6ls,https://www.linkedin.com/in/rakheshster/,,,,,,,,https://rakhesh.com/,
180,Marius Sandbu,172822838,,,https://www.linkedin.com/in/marius-sandbu-a2b0141b/,,,,,,,,https://www.semperis.com/,
181,Eric Woodruff,7563894,,,https://www.linkedin.com/in/ericonidentity/,,,,,,,,,
182,Rogier Dijkman,160891004,rogierdijkman.bsky.social,did:plc:43fz32n25fl4f5rlvae3exlv,https://www.linkedin.com/in/rogierdijkman/,https://x.com/DijkmanRogier,,,,,,,https://towardsdev.com,
183,Curtis Cannon,,,,https://www.linkedin.com/in/curtis-cannon-a35424275/,,,,,,,,https://traversecloud.co.uk,
184,sysadminafterdark,190106431,,,,https://twitter.com/sysadafterdark,https://infosec.exchange/@sysadminafterdark,https://www.youtube.com/@sysadminafterdark,,,https://github.com/sysadminafterdark,,https://sysadminafterdark.com,
185,Olaf Hartong,,olafhartong.nl,did:plc:3eyjo3ltqtfidsz45j5jauna,https://www.linkedin.com/in/olafhartong/,,,,,,,,https://troopers.de/,
186,Sapir Federovsky,,sapirxfed.bsky.social,,https://www.linkedin.com/in/sapir-federovsky-a687491b0/,https://x.com/sapirxfed,,,,,,,https://sapirxfed.com/,
187,Maxime Guillemin,190892743,,,https://www.linkedin.com/in/maxime-guillemin-526618161,,,,,,,,https://cloudflow.be/,
188,Ugur Koc,170112981,,,https://www.linkedin.com/in/ugurkocde/,,,,,,,,https://ugurkoc.de/,
189,Emilien Socchi,170112981,,,https://www.linkedin.com/in/emilien-socchi-06b898136/,,,,,,,,https://www.emiliensocchi.io/,
190,Marius Sandbu ,178836907,,,https://www.linkedin.com/in/marius-sandbu-a2b0141b/,,,,,,,,https://msandbu.org/,
191,Jeroen Burgerhout,155048654,,,https://www.linkedin.com/in/jeroenburgerhout/,,,,,,,,https://www.burgerhout.org/,
192,Dishan M. Francis,191929250,,,https://www.linkedin.com/in/dishanfrancis/,,,,,,,,https://www.rebeladmin.com/,
193,Anton W,,,,https://www.linkedin.com/in/anton-willoughby/,,,,,,,,https://blog.moderncloud.ca/,
194,Julian Sperling,192232403,,,https://www.linkedin.com/in/julian-sperling-4bba72228/,,,,,,,,https://sparrow365.de/,
195,Sean McAvinue,144178278,,,https://www.linkedin.com/in/sean-mcavinue-4a058874/,,,,,,,,https://seanmcavinue.ne,
196,Gregor Suttie,,,,https://www.linkedin.com/in/gregorsuttie/,,,,,,,,https://gregorsuttie.com/,
197,Tore Nestenius,,tndata.bsky.social,did:plc:7rwzgsgcmah3zw6x4wn22lva,https://www.linkedin.com/in/torenestenius/,,,,,,,,https://nestenius.se/,
198,Matt Jacobs,192606804,,,https://www.linkedin.com/in/cloudguy-us/,,,,,,,,https://cloudguy.us/,
199,Sam Erde,187157858,samerde.day3bits.com,did:plc:n4yrsuupoqltkqscs5j6wa6i,https://www.linkedin.com/in/SamErde/,,,,,,,,https://day3bits.com/,
200,Paul Bullock,,pkbullock.bsky.social,did:plc:jqxgezpjtwn6xp67dihvifes,https://www.linkedin.com/in/pkbullock/,,,,,,,,https://pkbullock.com/,
201,Manish Periwal,,,,https://www.linkedin.com/in/manish-periwal/,,,,,,,,,
202,Beau Bullock,,,,https://www.linkedin.com/in/beaubullock/,,,,,,,,,
203,Sreejith Reghunathan Pillai,191179343,,,https://www.linkedin.com/in/sreejith-r-19240748/,,,,,,,,https://www.thetechtrails.com/,
204,Harm Veenstra,168931040,harmveenstra.bsky.social,did:plc:552wqjyuq5dnmc2izzgvudcs,https://www.linkedin.com/in/harmveenstra/,,,,,,,,https://powershellisfun.com/,
205,Katie Knowles,,,,https://www.linkedin.com/in/kaknowles/,,,,,,,,https://kknowl.es/,
206,Adam Bertram,163233110,,,https://www.linkedin.com/company/atalearning/,,,,,,,,https://adamtheautomator.com/,
207,Maciej Horbacz,,,,https://www.linkedin.com/in/maciejhorbacz/,,,,,,,,https://universecitiz3n.tech/,
208,Valentin Valeanu,,,,https://www.linkedin.com/in/valentinvaleanu/,,,,,,,,https://valeanu.xyz/,
209,Max Rozendaal,,,,https://www.linkedin.com/in/max-rozendaal-31b377104/,,,,,,,,https://www.secura.com/,
210,Dean Ellerby,177914383,,,https://www.linkedin.com/in/deanellerby/,https://x.com/dean_ellerby,,https://www.youtube.com/@deanellerbymvp,,,,,https://worksecure.online/,
211,Jannik Reinhard,162391847,,,https://www.linkedin.com/in/jannik-r/,https://x.com/jannik_reinhard,,,,,,,https://jannikreinhard.com/,
212,Sami Lamppu,65979330,samilamppu.bsky.social,did:plc:r6nwjysemkv7cwm7oexlbkeq,https://www.linkedin.com/in/sami-lamppu/,https://x.com/samilamppu,,,,,,,https://samilamppu.com/,
213,Sebastian Flæng Markdanner,,noble-efficiency.bsky.social,did:plc:7mj7ydetiawb2je7ootfo4qh,https://www.linkedin.com/in/sebastian-markdanner/,,,,,,,,https://www.chanceofsecurity.com/,
214,Moe Kinani,,,,https://www.linkedin.com/in/moe-kinani-7b530159/,,,,,,,,https://cloudbymoe.com/,
215,Ola Ström,139013947,olastrom.bsky.social,did:plc:xyyj4at3nrzxrbnyfnmgjgy4,https://www.linkedin.com/in/olastrom/,,,,,,,,https://www.olastrom.com,
216,Layth Chebbi,,laythchebbi.com,did:plc:nvbomtvicncmogcizageneu2,https://www.linkedin.com/in/layth-chebbi-529669120/,https://twitter.com/LaythChebbi,https://mas.to/home,,,,,,https://laythchebbi.com,
217,Marilee Turscak,,,,https://www.linkedin.com/in/marilee-turscak/,,,,,,https://github.com/MarileeTurscak-MSFT,,https://marileeturscak.com/,
218,Håvard Løkensgard,,,,https://www.linkedin.com/in/hlokensgard/,,,,,,https://github.com/hlokensgard,,https://hlokensgard.no,
219,Adam Fowler,,adamfowlerit.com,,https://www.linkedin.com/in/adamfowlerit/,https://x.com/AdamFowler_IT,,,,,,,https://www.adamfowlerit.com/,
220,Stian A. Strysse,,learningbydoing.cloud,did:plc:xmpoyrutdwfqfwjqu2pr4zuj,https://www.linkedin.com/in/stianstrysse/,https://twitter.com/stianstrysse,https://infosec.exchange/@stians,,,,https://github.com/stianstrysse,No,https://learningbydoing.cloud,
221,Wesley Lombardo,,edtechirl.com,,https://www.linkedin.com/in/andylombardo/,,,,,,,,https://www.edtechirl.com/,
222,Jay Kerai,,devfender.bsky.social,did:plc:hcazyispdexglxmqdkx7pywk,https://www.linkedin.com/in/jay-kerai-cyber/,,,,,,https://github.com/jkerai1,No,,
223,Martin Rublik,,martin-rublik.bsky.social,,https://www.linkedin.com/in/mrublik/,https://x.com/martin_rublik,,,,,,No,https://martin.rublik.eu/,
224,Darren Robinson,,darrenjrobinson.com,,https://www.linkedin.com/in/darrenjrobinson/,https://x.com/darrenjrobinson,,,,5002871,https://github.com/darrenjrobinson,No,https://blog.darrenjrobinson.com/,
225,Andrew Connell,,andrewconnell.com,did:plc:wqrd5dcowa6prnww4jcgyfbb,https://www.linkedin.com/in/andrewconnell/,,,https://www.youtube.com/@andrew_connell,,Yes,https://github.com/andrewconnell,No,https://www.andrewconnell.com,
226,Jonas Bøgvad,,,,https://www.linkedin.com/in/jonasbogvad/,https://x.com/JonasBogvad,,https://www.youtube.com/channel/UCmEavfitnMuC4phwzVk3dBQ,,https://mvp.microsoft.com/en-US/MVP/profile/5fc918d5-c755-ed11-9561-000d3a197333,https://github.com/Jcodedk,,https://skymadesimple.io/,
227,Nestori Syynimaa,,,,https://www.linkedin.com/in/nestori/,,,,,,,,https://aadinternals.com/,
228,Antonius van Beers,,,,https://www.linkedin.com/in/twanvanbeers/,,,,,,,,https://community.sap.com/,
229,Martin Raepple,,,,https://www.linkedin.com/in/martinraepple/,,,,,,,,https://luke.geek.nz/,
230,Luke Murray,,,,https://www.linkedin.com/in/lukemurray1984/,,,,,,,,https://www.oasis.security/,
231,Tal Hason,,,,https://www.linkedin.com/in/tal-hason/,,,,,,,,https://registry.terraform.io/,
232,H�vard L�kensgard,,,,,,,,,,,,,
233,Christos Galanopoulos,,,,https://www.linkedin.com/in/christos-galanopoulos/,,,,,,,,https://christosgalano.github.io/,
234,Twan van Beers,,,,https://www.linkedin.com/in/twanvanbeers/,,,,,,,,https://geekwolf.cloud/,
235,Anthony Simmon,,,,https://www.linkedin.com/in/simmonanthony/,,,,,,,,https://anthonysimmon.com/,
236,Andreas Hartig,,,,https://www.linkedin.com/in/andreas-hartig/,,,,,,,,https://hartiga.de/,
237,Lewis Barry,,,,https://www.linkedin.com/in/lewis-barry/,,,,,,,,https://conditionalaccess.uk/,
238,Tibo Hulens,,,,https://www.linkedin.com/in/tibo-hulens-2a907659/,,,,,,,,https://tibopowershell.github.io/,
239,Jaap Wesselius,,,,https://www.linkedin.com/in/jaap-wesselius-1061822/,,,,,,,,https://jaapwesselius.com/,
240,Mads Christian Mozart Johansen,,,,https://www.linkedin.com/in/mads-johansen/,,,,,,,,https://evil365.com/,
241,Chris Greenacre,,https://bsky.app/profile/tophhie.cloud,,https://www.linkedin.com/in/chrisgreenacre/,https://x.com/Chris_Greenacre,,,,,https://github.com/Tophhie,,https://blog.tophhie.cloud/,
242,Kenneth van Surksum,,,,https://www.linkedin.com/in/kennethvansurksum/,,,,,,,,https://www.vansurksum.com/,
243,Ben Whitemore,,,,https://www.linkedin.com/in/byteben/,,,,,,,,https://msendpointmgr.com/,
244,Drago Petrovic,,,,https://www.linkedin.com/in/drago-petrovic/,,,,,,,,https://www.msb365.blog/,
245,Nico Wyss,,,,https://www.linkedin.com/in/nico-wyss/,,,,,,,,https://accesspackagebuilder.azurewebsites.net/,
246,Adam W�jcik,,,,https://www.linkedin.com/in/adam-w%C3%B3jcik-9b7777a6/,,,,,,,,https://pnp.github.io/,
247,Mark Oldham,,,,https://www.linkedin.com/in/mark-yorcybersec/,,,,,,,,https://substack.com/@controlaltdeletetechbits?,
248,Nathan McNulty,,,,https://www.linkedin.com/in/nathanmcnulty/,,,,,,,,https://github.com/nathanmcnulty/nathanmcnulty/blob/master/Entra/passkeys/get-passkey-metadata.ps1,
249,Alex Verboon,,,,https://www.linkedin.com/in/verboonalex/,,,,,,,,,
250,Mateusz Jendza,,,,https://www.linkedin.com/in/mjendza/,,,,,,,,https://mjendza.net/,
251,Sarah Lean,,,,https://www.linkedin.com/in/sazlean/,,,,,,,,https://www.techielass.com/,
252,Louis Mastelinck,,,,https://www.linkedin.com/in/louis-mastelinck-99144ab3/,,,,,,,,https://www.appgovscore.com/,
253,Anand P,,,,https://www.linkedin.com/in/anandnairkavil/,,,,,,,,https://www.cloudtekspace.com/,
254,Gabriel Delaney,,,,https://www.linkedin.com/in/gabe-delaney-78709115/,,,,,,,,https://www.thetolkienblackguy.com/,
255,Chris Pietschmann,,,,https://www.linkedin.com/in/crpietschmann/,,,,,,,,https://build5nines.com/,
256,Michael Frank,,,,https://www.linkedin.com/in/michaelsendpoint/,,,,,,,,https://michaelsendpoint.com/,
257,Leandro Facchinetti,,,,https://www.linkedin.com/in/leandro-facchinetti-273498272/,,,,,,,,https://kill-the-newsletter.com/,
258,Temmy Wahyu Raharjo,,,,https://www.linkedin.com/in/temmy-wahyu-raharjo/,,,,,,,,https://temmyraharjo.wordpress.com/,
259,Sagi Olshansky,,,,https://www.linkedin.com/in/sagi-olshansky/,,,,,,,,https://medium.com/,
260,Thijs Hurenkamp,,,,https://www.linkedin.com/in/thijs-hurenkamp/,,,,,,,,https://thijshurenkamp.com/,
261,Simon Gottschlag,,,,https://www.linkedin.com/in/simongottschlag/,,,,,,,,,
262,Matan Bahar,,,,https://www.linkedin.com/in/matanbahar/,,,,,,,,https://medium.com/,
